Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	TL
0	-320259.5	-320165.4	-94.07517	0.542126	0.375897	0.333612	0.521923	0.669648	0.957243	0.722152	0.504525	0.170135	0.177948	0.465556	0.467361	0.203861	0.106591	0.57916	0.649447	0.772469	0.739356	0.0189121	0.325143	0.230316	0.236439	0.0668358	0.0105735	0.716273	0.556934	0.476502	0.778982	0.625808	1.02936	0.663329	0.147833	0.0775702	0.0665532	0.117135	0.0711843	0.100259	0.00419611	0.00514009	0.784955	0.0683004	0.0821928	0.626622	0.602957	0.688342	1.3565	0.455722	0.692111	0.127367	0.0574754	0.0899475	0.612257	0.0441506	0.034119	0.0482763	0.0569738	0.349135	0.0933019	0.157834	0.126403	0.206435	0.67167	0.1755	0.0255301	0.344593	0.137453	0.205871	0.0905841	0.0825618	0.0274001	0.465076	0.148393	0.0953876	0.170038	0.194211	0.155727	0.13913	0.326853	0.0592033	0.088312	0.0944216	0.147414	0.344774	0.425773	0.208184	0.255022	0.257397	0.521721	0.105239	1.52168	30.13078
10	-320254.8	-320160.1	-94.75423	0.607563	0.378146	0.35541	0.516386	0.658975	0.94276	0.697084	0.527589	0.192807	0.182779	0.473979	0.485101	0.264588	0.124306	0.587096	0.728265	0.77054	0.77347	0.00775753	0.270275	0.200299	0.273158	0.0668661	0.0218507	0.725997	0.5498	0.486084	0.737891	0.651352	1.02997	0.659712	0.141718	0.0832578	0.0731805	0.10322	0.0698682	0.111676	0.00349971	0.00557499	0.79357	0.0581937	0.0909706	0.615342	0.576337	0.692173	1.49915	0.436343	0.685783	0.120702	0.0623669	0.108512	0.647285	0.0328339	0.0244549	0.0492653	0.05619	0.384195	0.0820239	0.185838	0.123957	0.194555	0.686963	0.141471	0.0709958	0.332446	0.129787	0.211145	0.111102	0.0652571	0.131719	0.383111	0.156468	0.0858364	0.204288	0.228106	0.147312	0.112215	0.325343	0.0712527	0.094968	0.0945578	0.157324	0.330945	0.359057	0.182542	0.267149	0.294756	0.533067	0.0817716	1.14784	30.19869
20	-320269.7	-320173.8	-95.83655	0.431113	0.40028	0.360725	0.499736	0.680751	0.952518	0.75319	0.5012	0.19072	0.181003	0.475231	0.479281	0.193982	0.164059	0.622015	0.709879	0.773141	0.792317	0.00569762	0.306699	0.221978	0.237509	0.0794199	0.0171374	0.72513	0.566787	0.52031	0.715253	0.630178	1.00555	0.669509	0.121287	0.0858886	0.0632383	0.0969539	0.0708277	0.10237	0.00336075	0.00474122	0.82455	0.0841092	0.0925227	0.569893	0.548529	0.701856	1.54072	0.46546	0.700009	0.126034	0.0575043	0.0929636	0.624948	0.0391509	0.0258515	0.0439564	0.0694802	0.348756	0.116608	0.188723	0.0967472	0.202567	0.673164	0.176881	0.0472022	0.3335	0.132204	0.220644	0.121884	0.0584151	0.145392	0.327689	0.14591	0.0880367	0.189255	0.201244	0.0920512	0.0834618	0.343953	0.0606935	0.0743759	0.109592	0.125174	0.33421	0.354396	0.207245	0.25259	0.294236	0.488189	0.0694824	1.58395	30.30692
30	-320265.5	-320169.3	-96.20903	0.782556	0.389349	0.346472	0.505959	0.654831	0.955882	0.678541	0.512356	0.173856	0.176933	0.477463	0.490202	0.232943	0.171203	0.612972	0.73338	0.803751	0.786403	0.0309371	0.291241	0.227951	0.236034	0.0879022	0.0221948	0.772388	0.576303	0.546572	0.776112	0.638467	1.07027	0.64711	0.118625	0.0930508	0.0661894	0.107424	0.072088	0.09705	0.00217797	0.00646193	0.819232	0.0724805	0.0844077	0.589805	0.571891	0.686406	1.48173	0.497311	0.69431	0.142491	0.0549115	0.090441	0.595044	0.0430933	0.0271116	0.0431746	0.0615615	0.375326	0.117285	0.171837	0.125479	0.216201	0.598433	0.109927	0.0536649	0.303721	0.114466	0.212576	0.131156	0.0660505	0.291067	0.225864	0.120099	0.0791501	0.217822	0.191548	0.088057	0.104439	0.347166	0.0513225	0.0879564	0.125842	0.135412	0.324768	0.378474	0.194826	0.254398	0.266135	0.489575	0.129102	1.11802	30.34417
40	-320261.2	-320161.8	-99.34072	0.968252	0.386506	0.364837	0.493839	0.682671	0.927213	0.676221	0.53085	0.18028	0.182036	0.47709	0.509245	0.241497	0.146477	0.588273	0.703066	0.81215	0.761973	0.033713	0.32116	0.264108	0.243073	0.0584861	0.0262433	0.812236	0.548465	0.476122	0.798361	0.653877	0.988085	0.658165	0.145044	0.0870372	0.0687049	0.107466	0.0647955	0.102215	0.00157178	0.00587218	0.825724	0.0731073	0.0793638	0.625333	0.579422	0.667081	1.54164	0.437186	0.697027	0.1115	0.0717426	0.1032	0.623716	0.0350173	0.0346858	0.0534446	0.0462726	0.363989	0.120442	0.15418	0.127648	0.191332	0.701357	0.160445	0.0344674	0.319339	0.115944	0.19833	0.112464	0.0625307	0.301722	0.188488	0.166829	0.0838303	0.212956	0.185693	0.151749	0.114	0.340301	0.0570454	0.0748377	0.100766	0.143545	0.361504	0.393781	0.193779	0.222616	0.255254	0.514465	0.108479	1.12049	30.65734
50	-320264.7	-320171.3	-93.38351	0.843701	0.35744	0.385395	0.49741	0.720518	0.972942	0.652268	0.531327	0.170779	0.172704	0.454817	0.501773	0.251667	0.138762	0.596626	0.723218	0.791401	0.747252	0.0458931	0.282212	0.246575	0.224119	0.069626	0.0166112	0.727869	0.575969	0.485314	0.818283	0.605369	1.036	0.659046	0.128792	0.086679	0.0658691	0.103522	0.0618763	0.114172	0.00168682	0.00666183	0.796881	0.0726265	0.0775457	0.603284	0.602645	0.665246	1.23857	0.468921	0.691773	0.120609	0.0479814	0.108425	0.603894	0.0400368	0.0261246	0.0542185	0.0643447	0.363208	0.11437	0.163674	0.127111	0.205363	0.704327	0.169007	0.0362195	0.366185	0.148369	0.212187	0.115537	0.0597655	0.341704	0.154977	0.136027	0.0751234	0.186529	0.211294	0.11176	0.108418	0.354854	0.0868559	0.106484	0.138949	0.1127	0.384197	0.381024	0.178246	0.262902	0.226852	0.470352	0.138453	0.953318	30.06162
60	-320266.9	-320171.6	-95.30082	1.04344	0.373529	0.387393	0.529168	0.687703	1.01267	0.717931	0.469604	0.186346	0.171133	0.472675	0.468394	0.296295	0.185882	0.625983	0.657786	0.803571	0.781587	0.00411086	0.29931	0.219593	0.272313	0.0873827	0.0248975	0.722046	0.549627	0.480749	0.77424	0.60337	0.992876	0.641468	0.137617	0.0784275	0.0693435	0.111283	0.0671669	0.105364	0.00272545	0.00611841	0.756467	0.0553855	0.0855144	0.627056	0.618314	0.676209	1.34169	0.453217	0.696428	0.120281	0.0728373	0.0913839	0.609255	0.0386286	0.0222233	0.0511563	0.0561562	0.35074	0.137608	0.158295	0.167512	0.208058	0.685038	0.181355	0.0727381	0.320693	0.135019	0.181441	0.107744	0.065639	0.318126	0.212718	0.128501	0.0954029	0.206477	0.213354	0.0926665	0.115145	0.362634	0.0807593	0.0763109	0.10151	0.124645	0.374681	0.384811	0.172796	0.270703	0.213743	0.497542	0.0966057	0.849006	30.25335
70	-320257.3	-320162	-95.3071	1.02593	0.356994	0.391605	0.523628	0.658001	0.92766	0.695656	0.52595	0.193556	0.156501	0.504186	0.516485	0.297113	0.131285	0.622923	0.715892	0.763203	0.767924	0.0238888	0.269972	0.212128	0.246896	0.0893772	0.021693	0.763949	0.533663	0.524554	0.787472	0.680105	1.00649	0.635428	0.140936	0.0791528	0.0683081	0.104983	0.0694979	0.115736	0.00241901	0.00877909	0.826936	0.0767462	0.0769203	0.610476	0.584507	0.683305	1.32603	0.453852	0.712705	0.118123	0.0777548	0.0830157	0.598157	0.0343796	0.028295	0.0475901	0.0585807	0.374426	0.109591	0.179724	0.118428	0.234843	0.625842	0.186515	0.0397684	0.325951	0.122588	0.218076	0.102224	0.070194	0.315998	0.17504	0.155463	0.0967007	0.190176	0.152253	0.169219	0.0788732	0.342832	0.0599072	0.090312	0.106142	0.124189	0.380427	0.409859	0.204793	0.247745	0.268775	0.492402	0.0935044	0.833896	30.25398
80	-320263.7	-320169.1	-94.60164	1.22939	0.368824	0.373125	0.520832	0.731555	0.908091	0.717043	0.548505	0.186974	0.171884	0.460094	0.5324	0.209356	0.152366	0.600955	0.675639	0.836636	0.701632	0.0068522	0.278408	0.198899	0.234681	0.0690769	0.0147204	0.784703	0.586046	0.523109	0.787535	0.644982	1.01097	0.667857	0.151827	0.0854917	0.0713637	0.11479	0.0736521	0.107709	0.00188071	0.00571825	0.771055	0.0643649	0.0894093	0.613096	0.572401	0.667147	1.35547	0.410604	0.707921	0.116449	0.0787377	0.0930836	0.59506	0.0400854	0.0226296	0.0507273	0.0572637	0.389595	0.0916807	0.159637	0.0993614	0.24009	0.648304	0.175382	0.0215641	0.325209	0.146863	0.234467	0.119335	0.0743081	0.327019	0.155048	0.154094	0.108602	0.179676	0.206643	0.127899	0.0852477	0.353764	0.059352	0.103486	0.115053	0.121628	0.380247	0.360782	0.176077	0.25074	0.256353	0.51047	0.120915	0.653455	30.18343
90	-320248.7	-320154.2	-94.44928	1.30263	0.389837	0.367328	0.523095	0.676919	0.9952	0.692179	0.497803	0.179082	0.181163	0.482442	0.496125	0.211031	0.155851	0.635867	0.70907	0.760268	0.737819	0.00176762	0.311759	0.21288	0.238142	0.06764	0.0292657	0.734981	0.531712	0.485533	0.773932	0.641639	1.03115	0.646242	0.134617	0.0837336	0.0694653	0.110096	0.0703775	0.108552	0.00420777	0.00675259	0.802533	0.0736124	0.0921308	0.598394	0.578497	0.655011	1.34769	0.462159	0.651554	0.147895	0.0571621	0.108315	0.613257	0.0356526	0.0315481	0.0494538	0.0586894	0.347817	0.126622	0.14289	0.122405	0.205538	0.634711	0.205282	0.0634663	0.339719	0.171829	0.201173	0.0920465	0.0885205	0.347115	0.126961	0.157683	0.0868027	0.207256	0.19119	0.106286	0.0951502	0.364569	0.0713635	0.0915178	0.109202	0.154401	0.370478	0.373358	0.20063	0.21665	0.283767	0.521834	0.102064	0.596183	30.16819
